# LEGENDE
# Format rooms: START/ROOM;Name;Beschreibung;verschlossen(true/false);Item;Event;X;Y;
# Format exits: EXIT;Raum;Richtung(n/s/e/w);Zielraum
# Items: N = kein Item, S = Schluessel, B = Baseballschlaeger, H = Heilungstrank, W = Schwert, L = Lederruestung
# Events: N = kein Event, Z = Gegner/Zombie, V = verletzte Person

START;Foyer;Du bist im Foyer.;false;N;N;2;2;5;

ROOM;Flur01;Ein kalter Flur. Hier gibt es nichts zu sehen.;false;N;N;2;3;5;
ROOM;Flur02;Ein kalter Flur. Hier gibt es nichts zu sehen.;false;N;N;2;4;5;
ROOM;Flur03;Ein kalter Flur. Hier gibt es nichts zu sehen.;false;N;N;2;1;5;
ROOM;Flur04;Ein kalter Flur. Hier gibt es nichts zu sehen.;false;N;N;3;3;5;
ROOM;Flur05;Ein kalter Flur. Hier gibt es nichts zu sehen.;false;N;N;3;1;5;
ROOM;Flur06;Ein kalter Flur. Hier gibt es nichts zu sehen.;false;S;N;4;1;5;
ROOM;Flur07;Ein kalter Flur. Hier gibt es nichts zu sehen.;false;N;N;5;1;5;

ROOM;Lager1;Ein Lagerraum mit alten Kisten.;false;N;Z;1;4;10;
ROOM;Lager2;Ein zweiter Lagerraum.;false;N;S;0;4;10;
ROOM;Büro;Ein kleines Büro. Ein Rüstungsstander steht in der Ecke. Jedoch ist keine Rüstung zu sehen...;false;B;N;2;5;20;
ROOM;Bibliothek;Eine alte Bibliothek voller staubiger Bücher. Ein Fenster zeigt in den Osten. Es ist zu dreckig um durch zu schauen.;false;S;N;4;3;15;
ROOM;Krankenstation;Eine verlassene Krankenstation.;false;L;V;1;1;20;
ROOM;Archiv;Ein staubiges Archiv voller alter Dokumente. Ein Gitterkäfig ist am ende des Raumes. Vielleicht hilft eine Metallstange oder etwas ähnliches... ;false;N;Z;4;0;15;
ROOM;Bossraum;Ein gefährlicher Raum. Hier wartet der Boss.;true;N;B;5;2;50;

ENDE;Ausgang;Du hast den Ausgang erreicht.;false;N;N;5;3;100;

EXIT;Foyer;n;Flur01
EXIT;Foyer;s;Flur03

EXIT;Flur01;s;Foyer
EXIT;Flur01;n;Flur02
EXIT;Flur01;e;Flur04

EXIT;Flur02;s;Flur01
EXIT;Flur02;n;Büro
EXIT;Flur02;w;Lager1

EXIT;Büro;s;Flur02

EXIT;Lager1;e;Flur02
EXIT;Lager1;w;Lager2

EXIT;Lager2;e;Lager1

EXIT;Flur04;w;Flur01
EXIT;Flur04;e;Bibliothek

EXIT;Bibliothek;w;Flur04

EXIT;Flur03;n;Foyer
EXIT;Flur03;w;Krankenstation
EXIT;Flur03;e;Flur05

EXIT;Krankenstation;e;Flur03

EXIT;Flur05;w;Flur03
EXIT;Flur05;e;Flur06

EXIT;Flur06;w;Flur05
EXIT;Flur06;e;Flur07
EXIT;Flur06;s;Archiv

EXIT;Archiv;n;Flur06

EXIT;Flur07;w;Flur06
EXIT;Flur07;n;Bossraum

EXIT;Bossraum;s;Flur07
EXIT;Bossraum;n;Ausgang

EXIT;Ausgang;s;Bossraum
